BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace
32,1,16,,4,512,,2,0,,,,gcc.trace.txt
32,8,8192,0.0395,2,131072,0.6555,0,0,,0,,gcc.trace.txt
16,4,64,0.4645,8,256,0.5548,0,2,,0,,gcc.trace.txt
16,2,16384,0.0525,8,262144,0.8972,0,0,,0,,gcc.trace.txt
32,4,32,,4,128,,2,2,,,,gcc.trace.txt
16,2,8,,8,128,,0,0,,,,gcc.trace.txt
32,2,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
16,2,16384,0.0525,0,0,0.0,0,0,,0,,gcc.trace.txt
32,2,8,,1,0,,0,1,,,,gcc.trace.txt
32,1,64,0.5338,4,128,0.7476,0,0,,0,,gcc.trace.txt
16,1,32,0.5884,8,256,0.438,2,0,,0,,gcc.trace.txt
32,8,16,,1,128,,2,1,,,,gcc.trace.txt
32,1,8,,4,512,,1,1,,,,gcc.trace.txt
32,8,32,,2,0,,1,0,,,,gcc.trace.txt
16,8,32,,4,128,,2,0,,,,gcc.trace.txt
32,2,8,,4,256,,0,0,,,,gcc.trace.txt
16,1,8,,1,128,,1,0,,,,gcc.trace.txt
16,4,32,,4,0,,0,0,,,,gcc.trace.txt
32,8,2048,0.0907,4,524288,0.2847,0,0,,0,,gcc.trace.txt
32,2,16,,8,128,,2,2,,,,gcc.trace.txt
16,8,8,,1,0,,0,0,,,,gcc.trace.txt
16,4,64,0.4645,4,128,0.7537,1,1,,0,,gcc.trace.txt
32,8,16,,2,256,,1,0,,,,gcc.trace.txt
16,1,8,,4,512,,0,2,,,,gcc.trace.txt
32,4,32,,8,0,,0,2,,,,gcc.trace.txt
32,1,64,0.5338,1,512,0.4971,1,2,,0,,gcc.trace.txt
16,4,64,,2,0,,2,2,,,,gcc.trace.txt
32,4,16,,8,0,,0,1,,,,gcc.trace.txt
16,1,8,,2,256,,2,1,,,,gcc.trace.txt
32,8,1024,0.1363,4,262144,0.1895,0,0,,0,,gcc.trace.txt
16,2,16,,8,128,,2,2,,,,gcc.trace.txt
16,2,16,,4,0,,1,1,,,,gcc.trace.txt
16,2,32,,4,0,,1,2,,,,gcc.trace.txt
16,8,16,,2,256,,1,0,,,,gcc.trace.txt
32,4,8,,4,512,,0,0,,,,gcc.trace.txt
16,1,64,0.4967,1,512,0.4942,1,2,,0,,gcc.trace.txt
16,4,8,,1,128,,0,1,,,,gcc.trace.txt
32,2,32,,8,0,,1,0,,,,gcc.trace.txt
16,1,16,,2,0,,0,1,,,,gcc.trace.txt
32,1,64,,8,0,,2,2,,,,gcc.trace.txt
16,1,64,0.4967,4,128,0.7038,0,0,,0,,gcc.trace.txt
32,4,8,,1,128,,1,2,,,,gcc.trace.txt
32,1,32,0.6165,8,256,0.4533,2,0,,0,,gcc.trace.txt
16,1,32,,2,0,,0,2,,,,gcc.trace.txt
16,8,16,,1,128,,2,1,,,,gcc.trace.txt
16,8,64,,8,256,,0,0,,,,gcc.trace.txt
32,8,32,,4,128,,2,0,,,,gcc.trace.txt
16,1,64,,4,0,,2,0,,,,gcc.trace.txt
32,1,32,,1,0,,2,2,,,,gcc.trace.txt
32,1,16,,1,0,,2,1,,,,gcc.trace.txt
16,2,16,,2,512,,1,2,,,,gcc.trace.txt
32,1,32,0.6165,1,512,0.4304,2,1,,0,,gcc.trace.txt
16,2,8,,4,0,,2,2,,,,gcc.trace.txt
16,1,16,0.6836,4,512,0.2896,2,0,,0,,gcc.trace.txt
32,2,2048,0.1071,8,16384,0.2585,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph3_l2,gcc.trace.txt
16,8,64,,1,512,,0,1,,,,gcc.trace.txt
16,4,32,,4,128,,2,2,,,,gcc.trace.txt
32,2,32,,2,128,,0,1,,,,gcc.trace.txt
32,4,16,,2,256,,1,2,,,,gcc.trace.txt
32,4,4096,0.0599,8,32768,0.4381,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph5_l2size,gcc.trace.txt
16,2,64,0.4721,8,512,0.4116,0,2,,0,,gcc.trace.txt
64,1,32768,0.0298,4,131072,0.4877,0,0,,0,,gcc.trace.txt
32,2,64,,1,0,,1,0,,,,gcc.trace.txt
32,1,16,,4,128,,2,1,,,,gcc.trace.txt
16,1,8,,8,256,,1,0,,,,gcc.trace.txt
16,2,8,,8,512,,0,1,,,,gcc.trace.txt
16,4,16,,1,512,,2,2,,,,gcc.trace.txt
16,8,8,,4,128,,1,0,,,,gcc.trace.txt
32,8,16,,8,256,,2,1,,,,gcc.trace.txt
16,1,32,0.5884,1,128,0.6837,2,0,,0,,gcc.trace.txt
32,4,32,,2,256,,0,0,,,,gcc.trace.txt
32,8,8,,1,512,,1,1,,,,gcc.trace.txt
32,8,16,,8,0,,2,2,,,,gcc.trace.txt
16,8,64,,2,0,,0,1,,,,gcc.trace.txt
16,8,8,,1,512,,0,2,,,,gcc.trace.txt
32,8,32,,8,0,,2,1,,,,gcc.trace.txt
32,2,8192,0.0473,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
16,8,16,,4,0,,2,0,,,,gcc.trace.txt
16,2,32,0.5666,2,512,0.3743,0,0,,0,,gcc.trace.txt
32,2,8,,8,512,,1,2,,,,gcc.trace.txt
32,2,16,,1,256,,2,2,,,,gcc.trace.txt
16,1,32,0.5884,2,256,0.4808,1,1,,0,,gcc.trace.txt
32,2,8,,4,0,,1,2,,,,gcc.trace.txt
16,4,64,0.4645,4,512,0.4263,1,0,,0,,gcc.trace.txt
32,1,4096,0.1002,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,1,8,,1,512,,0,2,,,,gcc.trace.txt
16,8,32,,4,512,,2,1,,,,gcc.trace.txt
16,2,8,,1,256,,0,0,,,,gcc.trace.txt
32,1,8,,4,128,,1,0,,,,gcc.trace.txt
16,4,64,0.4645,1,128,0.78,0,2,,0,,gcc.trace.txt
32,1,64,0.5338,2,256,0.5719,2,2,,0,,gcc.trace.txt
32,1,8,,2,0,,0,2,,,,gcc.trace.txt
16,1,8,,1,512,,1,1,,,,gcc.trace.txt
64,2,4096,0.0784,0,0,0.0,0,0,,0,,gcc.trace.txt
16,4,16,,1,0,,1,0,,,,gcc.trace.txt
64,1,16384,0.0393,8,262144,0.3694,0,0,,0,,gcc.trace.txt
16,8,32,,2,256,,0,2,,,,gcc.trace.txt
32,8,8,,8,256,,1,0,,,,gcc.trace.txt
32,1,64,0.5338,4,512,0.3768,0,1,,0,,gcc.trace.txt
64,1,16384,0.0393,2,131072,0.3714,0,0,,0,,gcc.trace.txt
32,2,8,,2,128,,2,2,,,,gcc.trace.txt
32,8,16,,1,512,,2,0,,,,gcc.trace.txt
32,2,64,0.5039,4,256,0.5652,1,0,,0,,gcc.trace.txt
32,8,32,,4,512,,2,1,,,,gcc.trace.txt
16,4,16384,0.0482,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph4_blocksize,gcc.trace.txt
16,2,16,,1,0,,0,2,,,,gcc.trace.txt
32,2,1024,0.156,8,16384,0.1775,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph3_l2,gcc.trace.txt
16,1,64,0.4967,2,256,0.5695,2,2,,0,,gcc.trace.txt
16,2,32,,1,0,,0,1,,,,gcc.trace.txt
32,8,32,,2,256,,0,2,,,,gcc.trace.txt
16,1,64,0.4967,4,512,0.3986,0,1,,0,,gcc.trace.txt
16,8,16,,1,512,,2,0,,,,gcc.trace.txt
16,4,8,,4,128,,1,2,,,,gcc.trace.txt
16,2,64,0.4721,4,256,0.5566,1,0,,0,,gcc.trace.txt
32,4,8,,4,128,,0,1,,,,gcc.trace.txt
32,4,8,,4,0,,0,0,,,,gcc.trace.txt
16,2,32768,0.0495,4,131072,0.9515,0,0,,0,,gcc.trace.txt
16,4,8,,1,512,,0,0,,,,gcc.trace.txt
16,4,8,,8,256,,0,1,,,,gcc.trace.txt
32,2,32,,2,512,,0,0,,,,gcc.trace.txt
