trace,BLOCKSIZE,L1_SIZE,L1_ASSOC,L2_SIZE,L2_ASSOC,PREF_N,PREF_M,L1_reads,L1_read_misses,L1_writes,L1_write_misses,MRL1,L1_writebacks,L2_reads_not_pref,L2_read_misses_not_pref,L2_reads_from_pref,L2_read_misses_from_pref,L2_writes,L2_write_misses,MRL2,L2_writebacks,L1_prefetches,L2_prefetches,total_mem_traffic,AAT_ns,TRACE
traces/gcc_trace.txt,32,4096,4,0,0,0,0,63640.0,2941.0,36360.0,3051.0,0.0599,3369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9361.0,1.4756420000000001,traces/gcc_trace.txt
traces/gcc_trace.txt,32,4096,8,0,0,0,0,63640.0,2567.0,36360.0,2798.0,0.0537,3056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8421.0,1.3496150000000002,traces/gcc_trace.txt
traces/gcc_trace.txt,32,4096,128,0,0,0,0,63640.0,2356.0,36360.0,2598.0,0.0495,2861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7815.0,1.267004,traces/gcc_trace.txt
traces/gcc_trace.txt,32,8192,1,0,0,0,0,63640.0,3327.0,36360.0,3373.0,0.067,3574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274.0,1.6179500000000002,traces/gcc_trace.txt
traces/gcc_trace.txt,32,8192,2,0,0,0,0,63640.0,2184.0,36360.0,2550.0,0.0473,2666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0,1.222784,traces/gcc_trace.txt
traces/gcc_trace.txt,32,8192,4,0,0,0,0,63640.0,1844.0,36360.0,2403.0,0.0425,2496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6743.0,1.124897,traces/gcc_trace.txt
traces/gcc_trace.txt,32,8192,8,0,0,0,0,63640.0,1643.0,36360.0,2311.0,0.0395,2397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6351.0,1.066004,traces/gcc_trace.txt
traces/gcc_trace.txt,32,8192,256,0,0,0,0,63640.0,1629.0,36360.0,2283.0,0.0391,2378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6290.0,1.0575620000000001,traces/gcc_trace.txt
traces/gcc_trace.txt,32,16384,1,0,0,0,0,63640.0,1932.0,36360.0,2677.0,0.0461,2503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7112.0,1.197659,traces/gcc_trace.txt
traces/gcc_trace.txt,32,16384,2,0,0,0,0,63640.0,1161.0,36360.0,2223.0,0.0338,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5349.0,0.9514340000000001,traces/gcc_trace.txt
traces/gcc_trace.txt,32,16384,4,0,0,0,0,63640.0,741.0,36360.0,2091.0,0.0283,1782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614.0,0.8404820000000001,traces/gcc_trace.txt
traces/gcc_trace.txt,32,16384,8,0,0,0,0,63640.0,681.0,36360.0,2093.0,0.0277,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4547.0,0.828824,traces/gcc_trace.txt
traces/gcc_trace.txt,32,16384,512,0,0,0,0,63640.0,555.0,36360.0,2079.0,0.0263,1754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4388.0,0.800684,traces/gcc_trace.txt
traces/gcc_trace.txt,32,32768,1,0,0,0,0,63640.0,1356.0,36360.0,2412.0,0.0377,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5464.0,1.028618,traces/gcc_trace.txt
traces/gcc_trace.txt,32,32768,2,0,0,0,0,63640.0,752.0,36360.0,2129.0,0.0288,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4205.0,0.8503310000000001,traces/gcc_trace.txt
traces/gcc_trace.txt,32,32768,4,0,0,0,0,63640.0,570.0,36360.0,2070.0,0.0264,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876.0,0.80189,traces/gcc_trace.txt
traces/gcc_trace.txt,32,32768,8,0,0,0,0,63640.0,554.0,36360.0,2071.0,0.0262,1234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.0,0.798875,traces/gcc_trace.txt
traces/gcc_trace.txt,32,32768,1024,0,0,0,0,63640.0,554.0,36360.0,2070.0,0.0262,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857.0,0.798674,traces/gcc_trace.txt
traces/gcc_trace.txt,32,65536,1,0,0,0,0,63640.0,986.0,36360.0,2306.0,0.0329,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4574.0,0.932942,traces/gcc_trace.txt
traces/gcc_trace.txt,32,65536,2,0,0,0,0,63640.0,639.0,36360.0,2074.0,0.0271,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3229.0,0.816563,traces/gcc_trace.txt
traces/gcc_trace.txt,32,65536,4,0,0,0,0,63640.0,547.0,36360.0,2048.0,0.026,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,0.792845,traces/gcc_trace.txt
traces/gcc_trace.txt,32,65536,8,0,0,0,0,63640.0,545.0,36360.0,2044.0,0.0259,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.0,0.791639,traces/gcc_trace.txt
traces/gcc_trace.txt,32,65536,2048,0,0,0,0,63640.0,544.0,36360.0,2039.0,0.0258,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2825.0,0.790433,traces/gcc_trace.txt
traces/gcc_trace.txt,32,131072,1,0,0,0,0,63640.0,937.0,36360.0,2296.0,0.0323,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4159.0,0.921083,traces/gcc_trace.txt
traces/gcc_trace.txt,32,131072,2,0,0,0,0,63640.0,544.0,36360.0,2046.0,0.0259,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2893.0,0.79184,traces/gcc_trace.txt
traces/gcc_trace.txt,32,131072,4,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,131072,8,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,131072,4096,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,262144,1,0,0,0,0,63640.0,544.0,36360.0,2040.0,0.0258,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649.0,0.790634,traces/gcc_trace.txt
traces/gcc_trace.txt,32,262144,2,0,0,0,0,63640.0,544.0,36360.0,2040.0,0.0258,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,0.790634,traces/gcc_trace.txt
traces/gcc_trace.txt,32,262144,4,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2583.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,262144,8,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,262144,8192,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,524288,1,0,0,0,0,63640.0,544.0,36360.0,2040.0,0.0258,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649.0,0.790634,traces/gcc_trace.txt
traces/gcc_trace.txt,32,524288,2,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,524288,4,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,524288,8,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,524288,16384,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1048576,1,0,0,0,0,63640.0,544.0,36360.0,2040.0,0.0258,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.0,0.790634,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1048576,2,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1048576,4,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1048576,8,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1048576,32768,0,0,0,0,63640.0,544.0,36360.0,2038.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.790232,traces/gcc_trace.txt
